kp_id,kp_url,kp_full_name,name,vote_date,vote
848894,https://www.kinopoisk.ru/film/848894/,Вторая жизнь Уве (2015),En man som heter Ove,03.11.2021,7
1301710,https://www.kinopoisk.ru/series/1301710/,"Игра в кальмара (сериал, 2021 – ...)",Ojingeo geim,16.10.2021,7
825,https://www.kinopoisk.ru/film/825/,Тень вампира (2000),Shadow of the Vampire,10.10.2021,7
1254059,https://www.kinopoisk.ru/film/1254059/,Доктор Лиза (2020), ,02.10.2021,8
468581,https://www.kinopoisk.ru/film/468581/,Голодные игры (2012),The Hunger Games,26.09.2021,7
409424,https://www.kinopoisk.ru/film/409424/,Дюна (2021),Dune: Part One,26.09.2021,7
1209777,https://www.kinopoisk.ru/film/1209777/,Уроки фарси (2020),Persian Lessons,24.09.2021,9
462606,https://www.kinopoisk.ru/film/462606/,Области тьмы (2011),Limitless,17.09.2021,7
1183599,https://www.kinopoisk.ru/film/1183599/,Огонь (2020), ,27.08.2021,6
21540,https://www.kinopoisk.ru/film/21540/,Переступить черту (2005),Walk the Line,14.08.2021,7
497233,https://www.kinopoisk.ru/film/497233/,"Значит, война (2012)",This Means War,08.08.2021,6
689,https://www.kinopoisk.ru/film/689/,Гарри Поттер и философский камень (2001),Harry Potter and the Sorcerer's Stone,01.08.2021,10
1060511,https://www.kinopoisk.ru/film/1060511/,Зов предков (2020),The Call of the Wild,10.07.2021,8
994864,https://www.kinopoisk.ru/film/994864/,Покемон. Детектив Пикачу (2019),Pokémon: Detective Pikachu,06.06.2021,4
1109271,https://www.kinopoisk.ru/film/1109271/,Майор Гром: Чумной Доктор (2021), ,21.05.2021,7
470191,https://www.kinopoisk.ru/film/470191/,Невероятный мир глазами Энцо (2019),The Art of Racing in the Rain,15.05.2021,10
1146252,https://www.kinopoisk.ru/film/1146252/,Пиноккио (2019),Pinocchio,14.05.2021,3
1080513,https://www.kinopoisk.ru/film/1080513/,Вперёд (2019),Onward,05.05.2021,7
1236567,https://www.kinopoisk.ru/film/1236567/,"Девушка, подающая надежды (2020)",Promising Young Woman,04.05.2021,8
1318972,https://www.kinopoisk.ru/film/1318972/,Гнев человеческий (2021),Wrath of Man,25.04.2021,6
463418,https://www.kinopoisk.ru/film/463418/,Любовный переплет (2012),The Oranges,23.04.2021,5
464573,https://www.kinopoisk.ru/film/464573/,Ищу друга на конец света (2011),Seeking a Friend for the End of the World,16.04.2021,3
739642,https://www.kinopoisk.ru/film/739642/,Эверест (2015),Everest,09.04.2021,9
893245,https://www.kinopoisk.ru/film/893245/,Основатель (2016),The Founder,03.04.2021,7
1117379,https://www.kinopoisk.ru/film/1117379/,Поменяться местами (2019),Mon inconnue,02.04.2021,7
1021046,https://www.kinopoisk.ru/film/1021046/,Переводчики (2019),Les traducteurs,28.03.2021,6
1236063,https://www.kinopoisk.ru/film/1236063/,Довод (2020),Tenet,26.03.2021,7
279880,https://www.kinopoisk.ru/film/279880/,Подмена (2008),Changeling,19.03.2021,7
6034,https://www.kinopoisk.ru/film/6034/,Невероятная жизнь Уолтера Митти (2013),The Secret Life of Walter Mitty,13.03.2021,8
1188248,https://www.kinopoisk.ru/film/1188248/,Калашников (2020), ,05.03.2021,5
195435,https://www.kinopoisk.ru/film/195435/,Еще одна из рода Болейн (2008),The Other Boleyn Girl,26.02.2021,7
1189859,https://www.kinopoisk.ru/film/1189859/,Неадекватные люди 2 (2020), ,20.02.2021,7
461799,https://www.kinopoisk.ru/film/461799/,Письма к Джульетте (2010),Letters to Juliet,14.02.2021,6
829368,https://www.kinopoisk.ru/film/829368/,Прогулка (2015),The Walk,14.02.2021,7
826373,https://www.kinopoisk.ru/film/826373/,Дело Ричарда Джуэлла (2019),Richard Jewell,29.01.2021,8
81873,https://www.kinopoisk.ru/film/81873/,Иллюзия полета (2005),Flightplan,15.01.2021,8
957887,https://www.kinopoisk.ru/film/957887/,Клаус (2019),Klaus,08.01.2021,9
2656,https://www.kinopoisk.ru/film/2656/,Пятый элемент (1997),The Fifth Element,27.12.2020,7
1395366,https://www.kinopoisk.ru/series/1395366/,"Игра на выживание (сериал, 2020 – ...)", ,25.12.2020,6
1108690,https://www.kinopoisk.ru/series/1108690/,"Перевал Дятлова (сериал, 2020)", ,19.12.2020,7
1199625,https://www.kinopoisk.ru/film/1199625/,Глубже! (2020), ,18.12.2020,7
926540,https://www.kinopoisk.ru/film/926540/,Миссия невыполнима: Последствия (2018),Mission: Impossible - Fallout,17.12.2020,6
420454,https://www.kinopoisk.ru/film/420454/,Человек-невидимка (2020),The Invisible Man,05.12.2020,7
678549,https://www.kinopoisk.ru/film/678549/,Миссия невыполнима: Племя изгоев (2015),Mission: Impossible - Rogue Nation,03.12.2020,8
823594,https://www.kinopoisk.ru/series/823594/,"Вечность (сериал, 2014 – 2015)",Forever,30.11.2020,8
737859,https://www.kinopoisk.ru/film/737859/,Ночные игры (2018),Game Night,27.11.2020,6
1263485,https://www.kinopoisk.ru/series/1263485/,"Дивный новый мир (сериал, 2020)",Brave New World,17.11.2020,5
472362,https://www.kinopoisk.ru/film/472362/,Миссия невыполнима: Протокол Фантом (2011),Mission: Impossible - Ghost Protocol,30.10.2020,7
9552,https://www.kinopoisk.ru/film/9552/,Миссия: невыполнима 3 (2006),Mission: Impossible III,22.10.2020,7
1167867,https://www.kinopoisk.ru/film/1167867/,Стрельцов (2020), ,20.10.2020,6
842913,https://www.kinopoisk.ru/film/842913/,Колония Дигнидад (2015),Colonia,16.10.2020,8
586399,https://www.kinopoisk.ru/film/586399/,Транс (2013),Trance,02.10.2020,5
437678,https://www.kinopoisk.ru/film/437678/,Судья Дредд (2012),Dredd,26.09.2020,7
1183824,https://www.kinopoisk.ru/series/1183824/,"Ужиться с самим собой (сериал, 2019)",Living with Yourself,25.09.2020,6
889091,https://www.kinopoisk.ru/film/889091/,Нерв (2016),Nerve,21.09.2020,6
3447,https://www.kinopoisk.ru/film/3447/,Миссия: невыполнима 2 (2000),Mission: Impossible II,19.09.2020,5
3961,https://www.kinopoisk.ru/film/3961/,Миссия: невыполнима (1996),Mission: Impossible,19.09.2020,9
1312007,https://www.kinopoisk.ru/series/1312007/,"Чики (сериал, 2020)", ,15.09.2020,9
455194,https://www.kinopoisk.ru/film/455194/,Пленницы (2013),Prisoners,04.09.2020,9
1121377,https://www.kinopoisk.ru/film/1121377/,100 вещей и ничего лишнего (2018),100 Dinge,02.09.2020,7
1291338,https://www.kinopoisk.ru/series/1291338/,"Ничего смешного (мини-сериал, 2018 – ...)", ,01.09.2020,10
428711,https://www.kinopoisk.ru/film/428711/,Отпетые мошенницы (2019),The Hustle,29.08.2020,4
1009784,https://www.kinopoisk.ru/film/1009784/,Апгрейд (2018),Upgrade,29.08.2020,7
591535,https://www.kinopoisk.ru/film/591535/,Зеровилль (2019),Zeroville,22.08.2020,1
663191,https://www.kinopoisk.ru/film/663191/,Одноклассники 2 (2013),Grown Ups 2,19.08.2020,1
450345,https://www.kinopoisk.ru/film/450345/,Одноклассники (2010),Grown Ups,16.08.2020,8
841152,https://www.kinopoisk.ru/film/841152/,Славные парни (2016),The Nice Guys,11.08.2020,6
645118,https://www.kinopoisk.ru/film/645118/,Головоломка (2015),Inside Out,08.08.2020,8
1277987,https://www.kinopoisk.ru/series/1277987/,"Нормальные люди (мини-сериал, 2020)",Normal People,05.08.2020,3
1065805,https://www.kinopoisk.ru/film/1065805/,Клаустрофобы (2019),Escape Room,02.08.2020,6
1338525,https://www.kinopoisk.ru/film/1338525/,Добро пожаловать в Чечню (2020),Welcome to Chechnya,12.07.2020,9
490323,https://www.kinopoisk.ru/film/490323/,Притворись моей женой (2011),Just Go with It,04.07.2020,6
1990,https://www.kinopoisk.ru/film/1990/,На гребне волны (1991),Point Break,25.06.2020,7
276598,https://www.kinopoisk.ru/film/276598/,Драйв (2011),Drive,25.06.2020,4
1236319,https://www.kinopoisk.ru/film/1236319/,Венеция зовет (2019),Venise n'est pas en Italie,24.06.2020,5
939411,https://www.kinopoisk.ru/film/939411/,Мотылёк (2017),Papillon,09.06.2020,7
