imdb,kp_poster_url,year,kp_id,type,genres,countries
tt1590125,https://st.kp.yandex.net/images/film_big/468123.jpg,2010,468123,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'приключения'}, {'name': 'военный'}]",[{'name': 'Россия'}]
tt1192431,https://st.kp.yandex.net/images/film_big/260315.jpg,2008,260315,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'приключения'}, {'name': 'военный'}, {'name': 'история'}]",[{'name': 'Россия'}]
tt1620549,https://st.kp.yandex.net/images/film_big/451258.jpg,2010,451258,movie,"[{'name': 'боевик'}, {'name': 'фантастика'}, {'name': 'приключения'}]",[{'name': 'Россия'}]
tt1532382,https://st.kp.yandex.net/images/film_big/424516.jpg,2009,424516,movie,"[{'name': 'боевик'}, {'name': 'фантастика'}, {'name': 'приключения'}]",[{'name': 'Россия'}]
tt0429493,https://st.kp.yandex.net/images/film_big/96452.jpg,2010,96452,movie,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'комедия'}, {'name': 'приключения'}]","[{'name': 'США'}, {'name': 'Великобритания'}]"
tt1068680,https://st.kp.yandex.net/images/film_big/391772.jpg,2008,391772,movie,[{'name': 'комедия'}],"[{'name': 'США'}, {'name': 'Великобритания'}]"
tt0796366,https://st.kp.yandex.net/images/film_big/255129.jpg,2009,255129,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'приключения'}]","[{'name': 'США'}, {'name': 'Германия'}]"
tt1119646,https://st.kp.yandex.net/images/film_big/426004.jpg,2009,426004,movie,[{'name': 'комедия'}],[{'name': 'США'}]
,https://st.kp.yandex.net/images/film_big/406397.jpg,2009,406397,movie,"[{'name': 'фэнтези'}, {'name': 'комедия'}, {'name': 'семейный'}, {'name': 'спорт'}]","[{'name': 'США'}, {'name': 'Канада'}]"
tt1179904,https://st.kp.yandex.net/images/film_big/404366.jpg,2007,404366,movie,"[{'name': 'ужасы'}, {'name': 'детектив'}]",[{'name': 'США'}]
tt0443453,https://st.kp.yandex.net/images/film_big/102474.jpg,2006,102474,movie,[{'name': 'комедия'}],"[{'name': 'США'}, {'name': 'Великобритания'}]"
tt1028532,https://st.kp.yandex.net/images/film_big/387556.jpg,2008,387556,movie,"[{'name': 'драма'}, {'name': 'семейный'}, {'name': 'биография'}]","[{'name': 'США'}, {'name': 'Великобритания'}]"
tt1156398,https://st.kp.yandex.net/images/film_big/427122.jpg,2009,427122,movie,"[{'name': 'ужасы'}, {'name': 'комедия'}, {'name': 'боевик'}]",[{'name': 'США'}]
tt0499549,https://st.kp.yandex.net/images/film_big/251733.jpg,2009,251733,movie,"[{'name': 'фантастика'}, {'name': 'боевик'}, {'name': 'драма'}, {'name': 'приключения'}]",[{'name': 'США'}]
